publication,page_number,column,x,y,width,height,entry_id,state_name,name,population,county_name,post_reference,post_reference_type
Alabama,3,1,915,1209,180,12,Alab_003_01_00339,ALABAMA,BEXAR,300.0,MARIONN,,
Alabama,3,1,915,1257,220,12,Alab_003_01_00342,ALABAMA,BILLINGSLEY,256.0,AUTAUGA,,
Alabama,3,1,915,1317,260,12,Alab_003_01_00345,ALABAMA,BIRMINGHAM,174108.0,JEFFERSON,,
Alabama,6,1,939,1051,175,14,Alab_006_01_00650,ALABAMA,BLACK,485.0,GENEVA,,
Alabama,6,1,939,1116,232,14,Alab_006_01_00653,ALABAMA,BLADON SPRINGS,440.0,CHOCTAW,,
Alabama,6,1,939,1142,142,14,Alab_006_01_00655,ALABAMA,BLANTON,250.0,LEE,,
Alabama,6,1,939,1168,163,14,Alab_006_01_00657,ALABAMA,BLOCTON,2500.0,BIBB,,
Alabama,6,1,939,1363,211,14,Alab_006_01_00665,ALABAMA,BLOSSBURG,1500.0,JEFFERSON,,
Alabama,6,1,939,1402,211,14,Alab_006_01_00667,ALABAMA,BLOUNT SPRINGS,300.0,BLOUNT,,
Alabama,6,1,939,1441,195,14,Alab_006_01_00669,ALABAMA,BLOUNTSVILLE,287.0,BLOUNT,,
Alabama,6,2,1579,278,550,20,Alab_006_02_00674,ALABAMA,BLOWHORN,30.0,LAMAR,GUIN,P.O.
Alabama,6,2,1579,344,500,20,Alab_006_02_00676,ALABAMA,BLUE SPRINGS,117.0,BARBOUR,,
Alabama,6,2,1579,454,450,20,Alab_006_02_00679,ALABAMA,BOAZ,1010.0,MARSHALL,,
Alabama,6,2,1579,784,650,42,Alab_006_02_00688,ALABAMA,BOGUECHITTO,50.0,DALLAS,ELEANOR,P.O.
Alabama,6,2,1579,850,400,20,Alab_006_02_00690,ALABAMA,BOLIGEE,200.0,GREENE,,
Alabama,6,2,1579,960,400,20,Alab_006_02_00694,ALABAMA,BOLLING,350.0,BUTLER,,
Alabama,6,2,1579,1026,400,20,Alab_006_02_00696,ALABAMA,BOOTHTON,200.0,SHELBY,,
Alabama,6,2,1579,1070,400,20,Alab_006_02_00698,ALABAMA,BOYLES,,JEFFERSON,,
Alabama,6,2,1579,1136,600,20,Alab_006_02_00700,ALABAMA,BRADLEY,,ESCAMBIA,FALCO,P.O.
Alabama,6,2,1579,1180,500,20,Alab_006_02_00702,ALABAMA,BRADLEYTON,150.0,CRENSHAW,,
Alabama,6,2,1579,1224,400,20,Alab_006_02_00704,ALABAMA,BRAGGS,20.0,LOWNDES,,
Alabama,6,2,1579,1290,500,20,Alab_006_02_00706,ALABAMA,BRANCHVILLE,89.0,ST. CLAIR,,
Alabama,6,2,1579,1356,500,20,Alab_006_02_00708,ALABAMA,BRANTLEY,803.0,CRENSHAW,,
Alabama,6,2,1579,1532,400,20,Alab_006_02_00714,ALABAMA,BREMEN,350.0,CULLMAN,,
Alabama,6,2,1579,1598,350,20,Alab_006_02_00716,ALABAMA,BRENT,300.0,BIBB,,
Alabama,6,2,1579,1664,500,20,Alab_006_02_00718,ALABAMA,BREWTON,2185.0,ESCAMBIA,,
Alabama,6,2,1579,1972,550,20,Alab_006_02_00726,ALABAMA,BRIDGEPORT,2125.0,JACKSON,,
Alabama,6,2,1579,2148,550,20,Alab_006_02_00731,ALABAMA,BRIGHTON,1502.0,JEFFERSON,,
Alabama,7,0,318,327,385,18,Alab_007_00_00734,ALABAMA,BRILLIANT,700.0,MARION,,
Alabama,7,0,318,392,425,18,Alab_007_00_00738,ALABAMA,BROOKYLN,350.0,CONECUH,,
Alabama,7,0,318,457,450,18,Alab_007_00_00741,ALABAMA,BROOKSIDE,623.0,JEFFERSON,,
Alabama,7,0,318,509,520,18,Alab_007_00_00744,ALABAMA,BROOKWOOD,1500.0,TUSCALOOSA,,
Alabama,7,0,318,548,360,18,Alab_007_00_00747,ALABAMA,BROWNS,200.0,DALLAS,,
Alabama,7,0,318,587,380,18,Alab_007_00_00749,ALABAMA,BRUNDIDGE,815.0,PIKE,,
Alabama,7,0,318,795,450,18,Alab_007_00_00758,ALABAMA,BUENA VISTA,200.0,MONROE,,
Alabama,7,0,318,834,420,18,Alab_007_00_00760,ALABAMA,BUHL,200.0,TUSCALOOSA,,
Alabama,7,0,318,912,420,18,Alab_007_00_00765,ALABAMA,BURNSVILLE,200.0,DALLAS,,
Alabama,7,0,318,951,420,18,Alab_007_00_00767,ALABAMA,BURNT CORN,33.0,MONROE,,
Alabama,7,0,318,1003,380,18,Alab_007_00_00770,ALABAMA,BUTLER,250.0,CHOCTAW,,
Alabama,7,0,318,1055,550,18,Alab_007_00_00773,ALABAMA,BUYCK,20.0,ELMORE,TITUS,R. D.
Alabama,7,0,318,1094,380,18,Alab_007_00_00775,ALABAMA,CALERA,754.0,SHELBY,,
Alabama,7,0,318,1159,380,18,Alab_007_00_00779,ALABAMA,CALVERT,150.0,MOBILE,,
Alabama,7,0,318,1198,380,18,Alab_007_00_00781,ALABAMA,CAMDEN,648.0,WILCOX,,
Alabama,7,0,318,1354,520,18,Alab_007_00_00791,ALABAMA,CAMP HILL,896.0,TALLAPOOSA,,
Alabama,7,0,318,1497,380,18,Alab_007_00_00797,ALABAMA,CAMP HUGH,,BIBB,,
Alabama,7,1,963,332,318,16,Alab_007_01_00799,ALABAMA,CANOE STATION,50.0,ESCAMBIA,,
Alabama,7,1,963,377,295,16,Alab_007_01_00802,ALABAMA,CARBONHILL,1627.0,WALKER,,
Alabama,7,1,963,512,285,16,Alab_007_01_00809,ALABAMA,CARDIFF,426.0,JEFFERSON,,
Alabama,7,1,963,617,385,31,Alab_007_01_00813,ALABAMA,CARLOWVILLE,184.0,DALLAS,MINTER,R.D.
Alabama,7,1,963,677,290,16,Alab_007_01_00815,ALABAMA,CARROLLTON,444.0,PICKENS,,
Alabama,7,1,963,797,285,16,Alab_007_01_00820,ALABAMA,CARSON,10.0,WASHINGTON,,
Alabama,7,1,963,842,310,16,Alab_007_01_00822,ALABAMA,CASTLEBERRY,225.0,CONECUH,,
Alabama,7,1,963,917,275,16,Alab_007_01_00825,ALABAMA,CATHERINE,200.0,WILCOX,,
Alabama,7,1,963,962,320,16,Alab_007_01_00827,ALABAMA,CEDAR BLUFF,264.0,CHEROKEE,,
Alabama,7,1,963,1052,265,16,Alab_007_01_00831,ALABAMA,CENTER,256.0,CHEROKEE,,
Alabama,7,1,963,1187,385,31,Alab_007_01_00836,ALABAMA,CENTER HILL,30.0,LIMESTONE,HARVEST,R.D.
Alabama,7,1,963,1232,265,16,Alab_007_01_00838,ALABAMA,CENTERVILLE,730.0,BIBB,,
Alabama,7,1,963,1457,250,16,Alab_007_01_00847,ALABAMA,CENTRAL,100.0,ELMORE,,
Alabama,7,1,963,1532,310,16,Alab_007_01_00850,ALABAMA,CENTRAL MILLS,200.0,DALLAS,,
Alabama,7,1,963,1577,275,16,Alab_007_01_00852,ALABAMA,CHANCELLOR,60.0,GENEVA,,
Alabama,7,1,963,1652,240,16,Alab_007_01_00855,ALABAMA,CHAPMAN,10.0,BUTLER,,
Alabama,7,2,1608,328,358,15,Alab_007_02_00857,ALABAMA,CHATOM,200.0,WASHINGTON,,
Alabama,7,2,1608,381,288,15,Alab_007_02_00860,ALABAMA,CHAVIES,46.0,DEKALB,,
Alabama,7,2,1608,420,338,15,Alab_007_02_00863,ALABAMA,CHEROKEE,269.0,COLBERT,,
Alabama,7,2,1608,511,448,15,Alab_007_02_00868,ALABAMA,CHILDERSBURG,449.0,TALLADEGA,,
Alabama,7,2,1608,576,398,15,Alab_007_02_00871,ALABAMA,CHOCCOLOCCO,250.0,CALHOUN,,
Alabama,7,2,1608,615,338,15,Alab_007_02_00873,ALABAMA,CHUNCHULA,258.0,MOBILE,,
Alabama,7,2,1608,654,358,15,Alab_007_02_00875,ALABAMA,CITRONELLE,935.0,MOBILE,,
Alabama,7,2,1608,771,418,15,Alab_007_02_00880,ALABAMA,CLAIRMONT SPRINGS,,CLAY,,
Alabama,7,2,1608,810,358,15,Alab_007_02_00882,ALABAMA,CLANTON,1123.0,CHILTON,,
Alabama,7,2,1608,992,358,15,Alab_007_02_00890,ALABAMA,CLAYTON,1130.0,BARBOUR,,
Alabama,7,2,1608,1135,338,15,Alab_007_02_00897,ALABAMA,CLEVELAND,150.0,BLOUNT,,
Alabama,7,2,1608,1226,318,15,Alab_007_02_00902,ALABAMA,CLINTON,100.0,GREENE,,
Alabama,7,2,1608,1265,288,15,Alab_007_02_00904,ALABAMA,CLIO,580.0,BARBOUR,,
Alabama,7,2,1608,1369,258,15,Alab_007_02_00910,ALABAMA,CLOPTON,20.0,DALE,,
Alabama,7,2,1608,1421,418,15,Alab_007_02_00913,ALABAMA,CLOVERDALE,150.0,LAUDERDALE,,
Alabama,7,2,1608,1473,398,15,Alab_007_02_00916,ALABAMA,COALBURG,300.0,JEFFERSON,,
Alabama,8,0,272,230,285,15,Alab_008_00_00918,ALABAMA,COAL CITY,685.0,ST. CLAIR,,
Alabama,8,0,272,275,285,15,Alab_008_00_00920,ALABAMA,COALING,250.0,TUSCALOOSA,,
Alabama,8,0,272,305,260,15,Alab_008_00_00922,ALABAMA,COATOPA,100.0,SUMTER,,
Alabama,8,0,272,365,260,15,Alab_008_00_00925,ALABAMA,COCHRANE,200.0,PICKINS,,
Alabama,8,0,272,395,200,15,Alab_008_00_00927,ALABAMA,CODEN,,MOBILE,,
Alabama,8,0,272,425,350,15,Alab_008_00_00929,ALABAMA,COFFEE SPRINGS,503.0,GENEVA,,
Alabama,8,0,272,515,300,15,Alab_008_00_00934,ALABAMA,COFFEEVILLE,104.0,CLARKE,,
Alabama,8,0,272,590,285,15,Alab_008_00_00937,ALABAMA,COKER,30.0,TUSCALOOSA,,
Alabama,8,0,272,665,250,15,Alab_008_00_00940,ALABAMA,COLEANOR,800.0,BIBB,,
Alabama,8,0,272,710,285,15,Alab_008_00_00942,ALABAMA,COLLBRAN,100.0,DEKALB,,
Alabama,8,0,272,755,320,15,Alab_008_00_00944,ALABAMA,COLLINSVILLE,673.0,DEKALB,,
Alabama,8,0,272,905,320,15,Alab_008_00_00950,ALABAMA,COLUMBIA,1122.0,HOUSTON,,
Alabama,8,0,272,1070,320,15,Alab_008_00_00957,ALABAMA,COLUMBIANA,1079.0,SHELBY,,
Alabama,8,0,272,1190,350,15,Alab_008_00_00962,ALABAMA,COLUMBUS CITY,80.0,MARSHALL,,
Alabama,8,0,272,1235,285,15,Alab_008_00_00964,ALABAMA,COMER,200.0,BARBOUR,,
Alabama,8,0,272,1355,250,15,Alab_008_00_00969,ALABAMA,COOPER,50.0,CHILTON,,
Alabama,8,0,272,1400,320,15,Alab_008_00_00972,ALABAMA,CORDOVA,1747.0,WALKER,,
Alabama,8,0,272,1505,320,15,Alab_008_00_00977,ALABAMA,CORONA,1500.0,WALKER,,
Alabama,8,1,905,240,680,20,Alab_008_01_00979,ALABAMA,COTTONDALE,900.0,TUSCALOOSA,,
Alabama,8,1,905,280,600,20,Alab_008_01_00981,ALABAMA,COTTONWOOD,500.0,HOUSTON,,
Alabama,8,1,905,340,580,20,Alab_008_01_00984,ALABAMA,COURTLAND,478.0,LAWRENCE,,
Alabama,8,1,905,440,450,20,Alab_008_01_00987,ALABAMA,COVIN,60.0,FAYETTE,,
Alabama,8,1,905,530,500,20,Alab_008_01_00990,ALABAMA,COWARTS,150.0,HOUSTON,,
Alabama,8,1,905,570,350,20,Alab_008_01_00992,ALABAMA,COY,50.0,WILCOX,,
Alabama,8,1,905,610,450,20,Alab_008_01_00994,ALABAMA,CRAGFORD,90.0,CLAY,,
Alabama,8,1,905,710,550,20,Alab_008_01_00997,ALABAMA,CRANE HILL,55.0,CULLMAN,,
Alabama,8,1,905,750,550,20,Alab_008_01_00999,ALABAMA,CREWS DEPOT,150.0,LAMAR,,
Alabama,8,1,905,810,550,20,Alab_008_01_01001,ALABAMA,CRICHTON,100.0,MOBILE,,
Alabama,8,1,905,870,600,20,Alab_008_01_01003,ALABAMA,CROPWELL,105.0,ST. CLAIR,,
Alabama,8,1,905,930,880,40,Alab_008_01_01005,ALABAMA,CROSS KEYS,25.0,MACON,SHORTER,R.D.
Alabama,8,1,905,1050,550,20,Alab_008_01_01008,ALABAMA,CROSSVILLE,250.0,DEKALB,,
Alabama,8,1,905,1360,450,20,Alab_008_01_01018,ALABAMA,CUBA,650.0,SUMTER,,
Alabama,8,1,905,1500,600,20,Alab_008_01_01022,ALABAMA,CULLMAN,2130.0,CULLMAN,,
Alabama,8,1,905,1910,500,20,Alab_008_01_01035,ALABAMA,CUNNINGHAM,30.0,CLARKE,,
Alabama,8,1,905,1970,550,20,Alab_008_01_01037,ALABAMA,CUSSETA,150.0,CHAMBERS,,
Alabama,8,1,905,2010,700,20,Alab_008_01_01039,ALABAMA,DADEVILLE,1193.0,TALLAPOOSA,,
Alabama,8,2,1545,391,215,15,Alab_008_02_01047,ALABAMA,DALEVILLE,500.0,DALE,,
Alabama,8,2,1545,464,185,15,Alab_008_02_01050,ALABAMA,DANCY,20.0,PICKENS,,
Alabama,8,2,1545,508,215,15,Alab_008_02_01052,ALABAMA,DANVILLE,179.0,MORGAN,,
Alabama,8,2,1545,552,215,15,Alab_008_02_01054,ALABAMA,DAPHNE,549.0,BALDWIN,,
Alabama,8,2,1545,611,255,15,Alab_008_02_01057,ALABAMA,DAVISTON,127.0,TALLAPOOSA,,
Alabama,8,2,1545,640,305,15,Alab_008_02_01059,ALABAMA,DAWES,,MOBILE,THEODORE,R.D.
Alabama,8,2,1545,669,205,15,Alab_008_02_01061,ALABAMA,DAWSON,125.0,DEKALB,,
Alabama,8,2,1545,728,215,15,Alab_008_02_01064,ALABAMA,DAYTON,382.0,MARENGO,,
Alabama,8,2,1545,787,285,15,Alab_008_02_01067,ALABAMA,DE ARMANVILLE,125.0,CALHOUN,,
Alabama,8,2,1545,816,235,15,Alab_008_02_01069,ALABAMA,DEATSVILLE,194.0,ELMORE,,
Alabama,8,2,1545,875,235,15,Alab_008_02_01072,ALABAMA,DECATUR,4228.0,MORGAN,,
Alabama,8,2,1545,1051,215,15,Alab_008_02_01079,ALABAMA,DELMAR,100.0,WINSTON,,
Alabama,8,2,1545,1095,145,15,Alab_008_02_01081,ALABAMA,DELTA,50.0,CLAY,,
Alabama,8,2,1545,1169,265,15,Alab_008_02_01084,ALABAMA,DEMOPOLIS,2417.0,MARENGO,,
Alabama,8,2,1545,1360,265,15,Alab_008_02_01092,ALABAMA,DIXON'S MILLS,200.0,MARENGO,,
Alabama,8,2,1545,1389,355,30,Alab_008_02_01094,ALABAMA,DOGWOOD,,SHELBY,MONTEVALLO,R.D.
Alabama,8,2,1545,1433,265,15,Alab_008_02_01096,ALABAMA,DOLOMITE,1000.0,JEFFERSON,,
Alabama,8,2,1545,1492,185,15,Alab_008_02_01099,ALABAMA,DORA,916.0,WALKER,,
Alabama,9,0,256,401,380,18,Alab_009_00_01105,ALABAMA,DOTHAN,7016.0,HOUSTON,,
Alabama,9,0,256,1062,610,18,Alab_009_00_01129,ALABAMA,DOUBLE SPRINGS,200.0,WINSTON,,
Alabama,9,0,256,1179,300,18,Alab_009_00_01133,ALABAMA,DOWNS,100.0,MACON,,
Alabama,9,0,256,1210,400,18,Alab_009_00_01135,ALABAMA,DOZIER,288.0,CRENSHAW,,
Alabama,9,0,256,1327,680,18,Alab_009_00_01139,ALABAMA,DUNBAR,,WASHINGTON,MILLRY,P.O.
Alabama,9,0,256,1382,450,18,Alab_009_00_01141,ALABAMA,EASONVILLE,73.0,ST. CLAIR,,
Alabama,9,0,256,1421,680,18,Alab_009_00_01143,ALABAMA,EAST TALLASSEE,2000.0,TALLAPOOSA,,
Alabama,9,0,256,1522,450,18,Alab_009_00_01147,ALABAMA,ECHOLA,138.0,TUSCALOOSA,,
Alabama,9,0,256,1577,400,18,Alab_009_00_01149,ALABAMA,ECLECTIC,315.0,ELMORE,,
Alabama,9,0,256,1678,400,18,Alab_009_00_01153,ALABAMA,EDEN,165.0,ST. CLAIR,,
Alabama,9,1,927,307,895,43,Alab_009_01_01156,ALABAMA,EDGEWOOD,,JEFFERSON,BIRMINGHAM,P.O.
Alabama,9,1,927,387,435,26,Alab_009_01_01158,ALABAMA,EDNA,,CHOCTAW,,
Alabama,9,1,927,447,735,26,Alab_009_01_01160,ALABAMA,EDWARDSVILLE,393.0,CLEBURNE,,
Alabama,9,1,927,527,485,26,Alab_009_01_01163,ALABAMA,ELBA,1079.0,COFFEE,,
Alabama,9,1,927,827,585,26,Alab_009_01_01172,ALABAMA,ELDRIDGE,120.0,WALKER,,
Alabama,9,1,927,907,435,26,Alab_009_01_01175,ALABAMA,ELISKA,5.0,MONROE,,
Alabama,9,1,927,1007,635,26,Alab_009_01_01178,ALABAMA,ELKMONT,188.0,LIMESTONE,,
Alabama,9,1,927,1187,895,46,Alab_009_01_01184,ALABAMA,ELK RIVER MILLS,50.0,LIMESTONE,ATHENS,PO
Alabama,9,1,927,1247,485,26,Alab_009_01_01186,ALABAMA,ELMORE,300.0,ELMORE,,
Alabama,9,1,927,1327,585,26,Alab_009_01_01189,ALABAMA,ELROD,35.0,TUSCALOOSA,,
Alabama,9,1,927,1387,485,26,Alab_009_01_01192,ALABAMA,EMELLE,300.0,SUMTER,,
Alabama,9,1,927,1487,485,26,Alab_009_01_01195,ALABAMA,EMPIRE,300.0,WALKER,,
Alabama,9,1,927,1567,635,26,Alab_009_01_01198,ALABAMA,ENSLEY,8000.0,JEFFERSON,,
Alabama,9,2,1574,821,500,18,Alab_009_02_01230,ALABAMA,ENTERPRISE,2322.0,COFFEE,,
Alabama,9,2,1574,1055,400,18,Alab_009_02_01242,ALABAMA,EPES,374.0,SUMTER,,
Alabama,9,2,1574,1133,400,18,Alab_009_02_01246,ALABAMA,EQUALITY,200.0,COOSA,,
Alabama,9,2,1574,1199,500,18,Alab_009_02_01250,ALABAMA,ETHELSVILLE,50.0,PICKENS,,
Alabama,9,2,1574,1337,500,18,Alab_009_02_01256,ALABAMA,EUFAULA,4259.0,BARBOUR,,
Alabama,10,0,248,332,450,25,Alab_010_00_01266,ALABAMA,EUTAW,1001.0,GREENE,,
Alabama,10,0,248,497,350,25,Alab_010_00_01274,ALABAMA,EVA,30.0,MORGAN,,
Alabama,10,0,248,532,500,25,Alab_010_00_01276,ALABAMA,EVERGREEN,1582.0,CONECUH,,
Alabama,10,0,248,787,400,25,Alab_010_00_01285,ALABAMA,EXCEL,150.0,MONROE,,
Alabama,10,0,248,817,450,25,Alab_010_00_01287,ALABAMA,FAIRFAX,,CHAMBERS,,
Alabama,10,0,248,867,500,25,Alab_010_00_01289,ALABAMA,FAIRFIELD,,JEFFERSON,,
Alabama,10,0,248,1147,500,25,Alab_010_00_01298,ALABAMA,FAIRHOPE,590.0,BALDWIN,,
Alabama,10,0,248,1387,450,25,Alab_010_00_01307,ALABAMA,FALCO,,COVINGTON,,
Alabama,10,0,248,1437,500,25,Alab_010_00_01309,ALABAMA,FALKVILLE,335.0,MORGAN,,
Alabama,10,0,248,1542,500,25,Alab_010_00_01313,ALABAMA,FALLS CITY,85.0,WINSTON,,
Alabama,10,0,248,1577,450,25,Alab_010_00_01315,ALABAMA,FARILL,25.0,CHEROKEE,,
Alabama,10,0,248,1627,500,25,Alab_010_00_01317,ALABAMA,FAUNSDALE,352.0,MARENGO,,
Alabama,10,0,248,1712,500,25,Alab_010_00_01320,ALABAMA,FAYETTE,636.0,FAYETTE,,
Alabama,10,1,878,414,500,25,Alab_010_01_01330,ALABAMA,FERNBANK,175.0,LAMAR,,
Alabama,10,1,878,494,550,25,Alab_010_01_01333,ALABAMA,FITZPATRICK,398.0,BULLOCK,,
Alabama,10,1,878,674,600,25,Alab_010_01_01339,ALABAMA,FIVEPOINTS,200.0,CHAMBERS,,
Alabama,10,1,878,714,550,25,Alab_010_01_01341,ALABAMA,FLAT TOP,,JEFFERSON,,
Alabama,10,1,878,774,600,25,Alab_010_01_01344,ALABAMA,FLOMATON,539.0,ESCAMBIA,,
Alabama,10,1,878,874,600,25,Alab_010_01_01347,ALABAMA,FLORALA,2439.0,COVINGTON,,
Alabama,10,1,878,1114,650,25,Alab_010_01_01354,ALABAMA,FLORENCE,6689.0,LAUDERDALE,,
